Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 5, 607, 48, 0, 0, 0, 
10, 9, 650, 36, 36, 251, 3, 
10, 19, 651, 77, 77, 710, 5, 
10, 20, 565, 51, 0, 0, 0, 
10, 24, 478, 169, 169, 1224, 5, 
10, 32, 550, 45, 45, 96, 3, 
10, 45, 420, 1191, 1185, 832, 2, 
10, 54, 602, 103, 100, 25, 1, 
10, 59, 447, 75, 75, 644, 5, 
10, 66, 329, 268, 266, 124, 2, 
10, 66, 446, 26, 0, 0, 0, 
10, 72, 446, 151, 0, 0, 0, 
10, 72, 508, 10, 3, 3, 2, 
10, 73, 483, 57, 0, 0, 0, 
10, 99, 459, 11, 11, 54, 4.82, 
10, 103, 332, 31, 0, 0, 0, 
10, 108, 494, 35, 0, 0, 0, 
10, 108, 612, 1150, 0, 0, 0, 
10, 109, 384, 302, 302, 596, 3, 
10, 113, 493, 100, 70, 10, 2, 
10, 126, 312, 48, 0, 0, 0, 
10, 126, 561, 3, 0, 0, 0, 
10, 127, 442, 7, 0, 0, 0, 
10, 128, 641, 4, 4, 4, 2, 
10, 131, 597, 10, 0, 0, 0, 
10, 132, 481, 34, 0, 0, 0, 
10, 139, 396, 47, 0, 0, 0, 
10, 140, 342, 1, 0, 0, 0, 
10, 140, 633, 26, 0, 0, 0, 
10, 144, 126, 1410, 0, 0, 0, 
10, 144, 340, 50, 46, 22, 1, 
10, 146, 694, 52, 0, 0, 0, 
10, 146, 770, 31, 29, 14, 1.55, 
10, 153, 622, 24, 24, 180, 4.96, 
10, 154, 587, 77, 77, 856, 5, 
10, 155, 126, 198, 191, 66, 2, 
10, 158, 525, 20, 12, 12, 1.92, 
10, 159, 583, 20, 13, 3, 1, 
10, 160, 498, 43, 43, 480, 5, 
10, 163, 83, 15, 0, 0, 0, 
10, 163, 670, 80, 79, 41, 2, 
10, 164, 654, 53, 53, 535, 4.96, 
10, 164, 777, 33, 31, 24, 2, 
10, 166, 641, 63, 60, 13, 2, 
10, 166, 655, 12, 0, 0, 0, 
10, 168, 579, 17, 17, 184, 5, 
10, 169, 659, 3, 0, 0, 0, 
10, 173, 471, 142, 142, 1259, 5, 
10, 175, 365, 1, 0, 0, 0, 
10, 176, 29, 339, 0, 0, 0, 
10, 177, 656, 42, 42, 65, 1.95, 
10, 177, 820, 76, 76, 550, 4, 
10, 182, 728, 41, 40, 43, 2, 
10, 184, 765, 25, 0, 0, 0, 
10, 186, 569, 13, 11, 3, 1, 
10, 187, 823, 31, 30, 72, 3, 
10, 190, 448, 233, 0, 0, 0, 
10, 190, 498, 1, 0, 0, 0, 
10, 192, 416, 24, 0, 0, 0, 
10, 192, 729, 90, 88, 58, 2, 
10, 195, 500, 39, 39, 275, 5, 
10, 199, 173, 69, 69, 39, 2, 
10, 199, 418, 21, 0, 0, 0, 
10, 200, 788, 85, 85, 77, 2, 
10, 202, 390, 85, 85, 24, 1, 
10, 203, 357, 16, 16, 110, 4.75, 
10, 205, 601, 80, 80, 616, 5, 
10, 207, 655, 18, 0, 0, 0, 
10, 216, 369, 170, 0, 0, 0, 
10, 217, 646, 70, 70, 682, 5, 
10, 219, 315, 9, 9, 10, 2, 
10, 220, 757, 1, 0, 0, 0, 
10, 221, 787, 56, 56, 993, 5, 
10, 223, 13, 402, 396, 64, 2, 
10, 226, 412, 13, 0, 0, 0, 
10, 228, 659, 143, 127, 47, 1, 
10, 229, 406, 67, 56, 16, 2, 
10, 229, 666, 156, 156, 1658, 5, 
10, 230, 787, 49, 49, 629, 5, 
10, 231, 517, 64, 0, 0, 0, 
10, 232, 307, 33, 0, 0, 0, 
10, 232, 743, 8, 7, 24, 2, 
10, 233, 351, 114, 0, 0, 0, 
10, 233, 617, 1, 1, 22, 5, 
10, 234, 345, 31, 31, 214, 5, 
10, 235, 357, 31, 30, 17, 1, 
10, 235, 734, 39, 23, 7, 2, 
10, 238, 658, 123, 108, 102, 2, 
10, 239, 585, 18, 18, 209, 5, 
10, 240, 446, 33, 28, 14, 2, 
10, 240, 671, 69, 69, 799, 5, 
10, 242, 52, 116, 0, 0, 0, 
10, 243, 238, 232, 232, 1650, 5, 
10, 244, 330, 46, 0, 0, 0, 
10, 244, 532, 377, 0, 0, 0, 
10, 251, 486, 68, 65, 19, 1, 
10, 252, 249, 21, 0, 0, 0, 
10, 256, 57, 415, 0, 0, 0, 
10, 256, 815, 32, 32, 351, 5, 
10, 259, 545, 94, 0, 0, 0, 
10, 261, 565, 12, 0, 0, 0, 
10, 262, 459, 63, 0, 0, 0, 
10, 263, 91, 192, 192, 156, 2, 
10, 264, 763, 318, 318, 2019, 5, 
10, 264, 836, 143, 0, 0, 0, 
10, 269, 446, 72, 69, 10, 2, 
10, 269, 727, 281, 279, 2119, 5, 
10, 275, 828, 132, 0, 0, 0, 
10, 276, 227, 281, 281, 58, 2, 
10, 276, 737, 16, 0, 0, 0, 
10, 278, 683, 66, 0, 0, 0, 
10, 280, 736, 105, 0, 0, 0, 
10, 283, 557, 64, 0, 0, 0, 
10, 286, 417, 131, 0, 0, 0, 
10, 287, 340, 319, 305, 149, 1, 
10, 289, 425, 10, 0, 0, 0, 
10, 290, 490, 30, 30, 15, 2, 
10, 293, 767, 2, 2, 10, 3, 
10, 294, 411, 2, 2, 10, 3, 
10, 295, 612, 49, 49, 717, 5, 
10, 295, 618, 89, 89, 785, 4.99, 
10, 301, 199, 186, 0, 0, 0, 
10, 301, 747, 28, 0, 0, 0, 
10, 302, 499, 19, 0, 0, 0, 
10, 303, 19, 273, 194, 2008, 5, 
10, 304, 516, 18, 0, 0, 0, 
10, 305, 804, 322, 0, 0, 0, 
10, 308, 828, 287, 0, 0, 0, 
10, 309, 675, 6, 0, 0, 0, 
10, 309, 756, 45, 0, 0, 0, 
10, 310, 623, 30, 18, 6, 2, 
10, 311, 685, 115, 0, 0, 0, 
10, 311, 805, 185, 0, 0, 0, 
10, 312, 642, 45, 45, 19, 1.69, 
10, 314, 313, 13, 0, 0, 0, 
10, 315, 248, 25, 25, 177, 5, 
10, 318, 450, 83, 0, 0, 0, 
10, 319, 299, 67, 27, 3, 1, 
10, 325, 338, 12, 0, 0, 0, 
10, 326, 687, 3, 0, 0, 0, 
10, 327, 307, 19, 0, 0, 0, 
10, 330, 256, 147, 147, 1483, 5, 
10, 333, 519, 26, 26, 63, 4, 
10, 336, 398, 369, 362, 350, 2, 
10, 339, 384, 30, 0, 0, 0, 
10, 342, 326, 16, 0, 0, 0, 
10, 344, 719, 8, 0, 0, 0, 
10, 345, 689, 121, 118, 70, 2, 
10, 346, 708, 16, 14, 3, 2, 
10, 347, 348, 20, 0, 0, 0, 
10, 347, 771, 40, 40, 405, 5, 
10, 350, 280, 57, 47, 9, 2, 
10, 353, 233, 63, 0, 0, 0, 
10, 353, 308, 94, 94, 999, 5, 
10, 353, 797, 162, 162, 1764, 5, 
10, 353, 890, 59, 0, 0, 0, 
10, 354, 824, 2, 2, 1, 2, 
10, 355, 213, 6, 6, 15, 3, 
10, 355, 217, 25, 5, 1, 2, 
10, 355, 323, 4, 3, 6, 1, 
10, 356, 835, 112, 0, 0, 0, 
10, 358, 244, 14, 0, 0, 0, 
10, 358, 696, 5, 5, 9, 3, 
10, 361, 79, 54, 54, 32, 3, 
10, 371, 197, 8, 8, 64, 5, 
10, 375, 642, 51, 0, 0, 0, 
10, 378, 11, 217, 217, 1546, 5, 
10, 378, 556, 123, 122, 16, 2, 
10, 379, 608, 44, 0, 0, 0, 
10, 379, 924, 14, 0, 0, 0, 
10, 383, 874, 62, 23, 5, 1, 
10, 384, 630, 1, 1, 1, 1, 
10, 384, 657, 162, 0, 0, 0, 
10, 384, 895, 12, 0, 0, 0, 
10, 390, 205, 29, 0, 0, 0, 
10, 391, 859, 49, 0, 0, 0, 
10, 391, 867, 31, 0, 0, 0, 
10, 396, 778, 43, 0, 0, 0, 
10, 397, 252, 157, 157, 1115, 5, 
10, 398, 559, 22, 17, 2, 2, 
10, 399, 129, 18, 0, 0, 0, 
10, 401, 702, 113, 113, 711, 4, 
10, 403, 546, 26, 0, 0, 0, 
10, 406, 46, 95, 0, 0, 0, 
10, 409, 221, 119, 0, 0, 0, 
10, 410, 484, 23, 0, 0, 0, 
10, 413, 613, 67, 63, 25, 2, 
10, 415, 581, 46, 46, 301, 5, 
10, 418, 239, 34, 32, 13, 2, 
10, 418, 817, 37, 0, 0, 0, 
10, 420, 703, 12, 5, 4, 2, 
