Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
10, 7, MN101, 1, 10773, 11.7, 18.8, 71.81, 20.65, -51.16, 0.09, 0, 
10, 7, MN102, 2, 8590, 11.7, 18.8, 27, 12.6, -14.4, 0.09, 0.11, 
10, 7, MN103, 3, 8809, 11.7, 18.8, 30.85, 11.95, -18.9, 0.09, 0.11, 
10, 7, MN104, 4, 5138, 11.7, 18.8, 39.07, 14.65, -24.42, 0.09, 0.08, 
10, 7, MN200, 5, 7713, 12, 19.6, 45.69, 16.54, -29.15, 0.09, 0.14, 
10, 7, MN201, 6, 42783, 12, 19.6, 48.12, 14.81, -33.3, 0.09, 0.1, 
10, 7, MN202, 7, 17504, 12, 19.6, 43.2, 13.41, -29.78, 0.09, 0.14, 
10, 7, MN203, 8, 1202, 12, 19.6, 27.97, 14.22, -13.76, 0.09, 0.06, 
10, 7, MN204, 9, 14335, 12, 19.6, 27.99, 11.23, -16.76, 0.09, 0.08, 
10, 7, MN300, 10, 8832, 12.6, 19.8, 44.43, 18.09, -26.34, 0.1, 0, 
10, 7, MN301, 11, 41134, 12.6, 19.8, 48.3, 15.92, -32.38, 0.1, 0.11, 
10, 7, MN302, 12, 61583, 12.6, 19.8, 32.91, 12.79, -20.13, 0.1, 0.13, 
10, 7, MN303, 13, 10582, 12.6, 19.8, 39.18, 14.53, -24.66, 0.1, 0.1, 
10, 7, MN304, 14, 29110, 12.6, 19.8, 48.61, 19.85, -28.76, 0.1, 0.14, 
10, 7, MN400, 15, 1544, 13.2, 20.3, 55.53, 17.59, -37.94, 0.1, 0.16, 
10, 7, MN401, 16, 15305, 13.2, 20.3, 55.19, 20.29, -34.9, 0.1, 0.31, 
10, 7, MN402, 17, 27990, 13.2, 20.3, 35.77, 13.12, -22.65, 0.1, 0.19, 
10, 7, MN403, 18, 1292, 13.2, 20.3, 39.95, 17.05, -22.91, 0.1, 0.07, 
10, 7, MN404, 19, 108539, 13.2, 20.3, 42.43, 18.02, -24.42, 0.1, 0.14, 
10, 7, MN500, 20, 55, 14.2, 20.9, 73.13, 25.29, -47.84, 0.11, 0.36, 
10, 7, MN504, 21, 14401, 14.2, 20.9, 57.49, 21.84, -35.65, 0.11, 0.24, 
10, 8, MN101, 1, 10773, 13.3, 19.6, 76.46, 20.96, -55.5, 0.1, 0.21, 
10, 8, MN102, 2, 8590, 13.3, 19.6, 35.12, 12.85, -22.27, 0.1, 0.13, 
10, 8, MN103, 3, 8809, 13.3, 19.6, 38.06, 12.17, -25.89, 0.1, 0.12, 
10, 8, MN104, 4, 5138, 13.3, 19.6, 44.12, 14.96, -29.16, 0.1, 0.1, 
10, 8, MN200, 5, 7713, 10.6, 20.1, 46.18, 16.4, -29.78, 0.09, 0, 
10, 8, MN201, 6, 42783, 10.6, 20.1, 46.25, 14.63, -31.62, 0.09, 0.09, 
10, 8, MN202, 7, 17504, 10.6, 20.1, 42.33, 13.25, -29.08, 0.09, 0.13, 
10, 8, MN203, 8, 1202, 10.6, 20.1, 27.85, 14.15, -13.7, 0.09, 0, 
10, 8, MN204, 9, 14335, 10.6, 20.1, 28.18, 11.16, -17.03, 0.09, 0.04, 
10, 8, MN300, 10, 8832, 12.8, 20.4, 47.16, 18.17, -28.99, 0.1, 0, 
